conservation_practice,concern,value
Livestock Pipeline ,Ephemeral Gully Erosion,0
Prescribed Grazing (IRA),Ephemeral Gully Erosion,3
Cover Crop (IRA),Ephemeral Gully Erosion,3
Tree/Shrub Establishment (IRA),Ephemeral Gully Erosion,4
Brush Management ,Ephemeral Gully Erosion,3
Dike and Levee ,Ephemeral Gully Erosion,0
Herbaceous Weed Treatment ,Ephemeral Gully Erosion,2
Residue and Tillage Mgmt (No Till) (IRA),Ephemeral Gully Erosion,-1
Residue and Tillage Mgmt (Reduced Till) (IRA),Ephemeral Gully Erosion,0
Conservation Crop Rotation (IRA),Ephemeral Gully Erosion,0
Wildlife Habitat Planting (IRA),Ephemeral Gully Erosion,0
Pasture and Hay Planting ,Ephemeral Gully Erosion,3
Critical Area Planting (IRA),Ephemeral Gully Erosion,5
Range planting (IRA),Ephemeral Gully Erosion,4
Channel Bed Stabilization ,Ephemeral Gully Erosion,0
Conservation Cover (IRA),Ephemeral Gully Erosion,1
Access Control ,Ephemeral Gully Erosion,4
Wetland Restoration (IRA),Ephemeral Gully Erosion,0
Watering Facility ,Ephemeral Gully Erosion,2
Riparian Forest Buffer (IRA),Ephemeral Gully Erosion,1
Nutrient Management (IRA),Ephemeral Gully Erosion,0
Pest Management Conservation System ,Ephemeral Gully Erosion,2
Structures for Wildlife ,Ephemeral Gully Erosion,0
Stream Crossing ,Ephemeral Gully Erosion,0
Structure for Water Control ,Ephemeral Gully Erosion,0
Stream Habitat Improvement and Management ,Ephemeral Gully Erosion,0
Grade Stabilization Structure ,Ephemeral Gully Erosion,0
Riparian Herbaceous Cover (IRA),Ephemeral Gully Erosion,1
Aquatic Organism Passage ,Ephemeral Gully Erosion,0
Wetland Creation ,Ephemeral Gully Erosion,0
Wetland Enhancement ,Ephemeral Gully Erosion,0
Wetland Wildlife Habitat Management ,Ephemeral Gully Erosion,0
Shallow Water Development and Management ,Ephemeral Gully Erosion,0
Restoration of Rare and Declining Habitats,Ephemeral Gully Erosion,2
Fence ,Classic Gully Erosion,0
Streambank and Shoreline Protection ,Classic Gully Erosion,0
Heavy Use Area Protection ,Classic Gully Erosion,2
Livestock Pipeline ,Classic Gully Erosion,0
Prescribed Grazing (IRA),Classic Gully Erosion,1
Cover Crop (IRA),Classic Gully Erosion,0
Tree/Shrub Establishment (IRA),Classic Gully Erosion,2
Brush Management ,Classic Gully Erosion,0
Dike and Levee ,Classic Gully Erosion,2
Herbaceous Weed Treatment ,Classic Gully Erosion,1
Residue and Tillage Mgmt (No Till) (IRA),Classic Gully Erosion,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Classic Gully Erosion,0
Conservation Crop Rotation (IRA),Classic Gully Erosion,0
Wildlife Habitat Planting (IRA),Classic Gully Erosion,0
Pasture and Hay Planting ,Classic Gully Erosion,1
Critical Area Planting (IRA),Classic Gully Erosion,4
Range planting (IRA),Classic Gully Erosion,2
Channel Bed Stabilization ,Classic Gully Erosion,2
Conservation Cover (IRA),Classic Gully Erosion,1
Access Control ,Classic Gully Erosion,4
Wetland Restoration (IRA),Classic Gully Erosion,0
Watering Facility ,Classic Gully Erosion,1
Riparian Forest Buffer (IRA),Classic Gully Erosion,3
Nutrient Management (IRA),Classic Gully Erosion,0
Pest Management Conservation System ,Classic Gully Erosion,2
Structures for Wildlife ,Classic Gully Erosion,0
Stream Crossing ,Classic Gully Erosion,0
Structure for Water Control ,Classic Gully Erosion,0
Stream Habitat Improvement and Management ,Classic Gully Erosion,0
Grade Stabilization Structure ,Classic Gully Erosion,2
Riparian Herbaceous Cover (IRA),Classic Gully Erosion,0
Aquatic Organism Passage ,Classic Gully Erosion,0
Wetland Creation ,Classic Gully Erosion,0
Wetland Enhancement ,Classic Gully Erosion,0
Wetland Wildlife Habitat Management ,Classic Gully Erosion,0
Shallow Water Development and Management ,Classic Gully Erosion,0
Restoration of Rare and Declining Habitats,Classic Gully Erosion,0
Fence ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",1
Streambank and Shoreline Protection ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Heavy Use Area Protection ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Livestock Pipeline ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Prescribed Grazing (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",3
Cover Crop (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Tree/Shrub Establishment (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",2
Brush Management ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Dike and Levee ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",-1
Herbaceous Weed Treatment ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Residue and Tillage Mgmt (No Till) (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Residue and Tillage Mgmt (Reduced Till) (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Conservation Crop Rotation (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Wildlife Habitat Planting (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Pasture and Hay Planting ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Critical Area Planting (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Range planting (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",2
Channel Bed Stabilization ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",2
Conservation Cover (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",2
Access Control ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",5
Wetland Restoration (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Watering Facility ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Riparian Forest Buffer (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Nutrient Management (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Pest Management Conservation System ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Structures for Wildlife ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Stream Crossing ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",5
Structure for Water Control ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Stream Habitat Improvement and Management ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",5
Grade Stabilization Structure ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",2
Riparian Herbaceous Cover (IRA),"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",4
Aquatic Organism Passage ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",1
Wetland Creation ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Wetland Enhancement ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Wetland Wildlife Habitat Management ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Shallow Water Development and Management ,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Restoration of Rare and Declining Habitats,"Bank Erosion from Streams, Shorelines or Water Conveyance Channels",0
Fence ,Subsidence,0
Streambank and Shoreline Protection ,Subsidence,0
Heavy Use Area Protection ,Subsidence,0
Livestock Pipeline ,Subsidence,0
Prescribed Grazing (IRA),Subsidence,0
Cover Crop (IRA),Subsidence,0
Tree/Shrub Establishment (IRA),Subsidence,0
Brush Management ,Subsidence,0
Dike and Levee ,Subsidence,0
Herbaceous Weed Treatment ,Subsidence,0
Residue and Tillage Mgmt (No Till) (IRA),Subsidence,1
Residue and Tillage Mgmt (Reduced Till) (IRA),Subsidence,1
Conservation Crop Rotation (IRA),Subsidence,0
Wildlife Habitat Planting (IRA),Subsidence,0
Pasture and Hay Planting ,Subsidence,0
Critical Area Planting (IRA),Subsidence,0
Range planting (IRA),Subsidence,0
Channel Bed Stabilization ,Subsidence,0
Conservation Cover (IRA),Subsidence,0
Access Control ,Subsidence,0
Wetland Restoration (IRA),Subsidence,0
Watering Facility ,Subsidence,0
Riparian Forest Buffer (IRA),Subsidence,0
Nutrient Management (IRA),Subsidence,0
Pest Management Conservation System ,Subsidence,0
Structures for Wildlife ,Subsidence,0
Stream Crossing ,Subsidence,0
Structure for Water Control ,Subsidence,0
Stream Habitat Improvement and Management ,Subsidence,0
Grade Stabilization Structure ,Subsidence,0
Riparian Herbaceous Cover (IRA),Subsidence,0
Aquatic Organism Passage ,Subsidence,0
Wetland Creation ,Subsidence,0
Wetland Enhancement ,Subsidence,0
Wetland Wildlife Habitat Management ,Subsidence,0
Shallow Water Development and Management ,Subsidence,0
Restoration of Rare and Declining Habitats,Subsidence,0
Fence ,Compaction,1
Streambank and Shoreline Protection ,Compaction,0
Heavy Use Area Protection ,Compaction,1
Livestock Pipeline ,Compaction,0
Prescribed Grazing (IRA),Compaction,2
Cover Crop (IRA),Compaction,2
Tree/Shrub Establishment (IRA),Compaction,2
Brush Management ,Compaction,0
Dike and Levee ,Compaction,0
Herbaceous Weed Treatment ,Compaction,0
Residue and Tillage Mgmt (No Till) (IRA),Compaction,2
Residue and Tillage Mgmt (Reduced Till) (IRA),Compaction,2
Conservation Crop Rotation (IRA),Compaction,1
Wildlife Habitat Planting (IRA),Compaction,0
Pasture and Hay Planting ,Compaction,2
Critical Area Planting (IRA),Compaction,2
Range planting (IRA),Compaction,4
Channel Bed Stabilization ,Compaction,0
Conservation Cover (IRA),Compaction,3
Access Control ,Compaction,4
Wetland Restoration (IRA),Compaction,0
Watering Facility ,Compaction,0
Riparian Forest Buffer (IRA),Compaction,2
Nutrient Management (IRA),Compaction,0
Pest Management Conservation System ,Compaction,2
Structures for Wildlife ,Compaction,0
Stream Crossing ,Compaction,0
Structure for Water Control ,Compaction,0
Stream Habitat Improvement and Management ,Compaction,0
Grade Stabilization Structure ,Compaction,0
Riparian Herbaceous Cover (IRA),Compaction,4
Aquatic Organism Passage ,Compaction,0
Wetland Creation ,Compaction,0
Wetland Enhancement ,Compaction,0
Wetland Wildlife Habitat Management ,Compaction,0
Shallow Water Development and Management ,Compaction,0
Restoration of Rare and Declining Habitats,Compaction,0
Fence ,Organic Matter Depletion,0
Streambank and Shoreline Protection ,Organic Matter Depletion,0
Heavy Use Area Protection ,Organic Matter Depletion,0
Livestock Pipeline ,Organic Matter Depletion,0
Prescribed Grazing (IRA),Organic Matter Depletion,4
Cover Crop (IRA),Organic Matter Depletion,2
Tree/Shrub Establishment (IRA),Organic Matter Depletion,4
Brush Management ,Organic Matter Depletion,0
Dike and Levee ,Organic Matter Depletion,0
Herbaceous Weed Treatment ,Organic Matter Depletion,0
Residue and Tillage Mgmt (No Till) (IRA),Organic Matter Depletion,3
Residue and Tillage Mgmt (Reduced Till) (IRA),Organic Matter Depletion,2
Conservation Crop Rotation (IRA),Organic Matter Depletion,4
Wildlife Habitat Planting (IRA),Organic Matter Depletion,0
Pasture and Hay Planting ,Organic Matter Depletion,4
Critical Area Planting (IRA),Organic Matter Depletion,5
Range planting (IRA),Organic Matter Depletion,4
Channel Bed Stabilization ,Organic Matter Depletion,0
Conservation Cover (IRA),Organic Matter Depletion,5
Access Control ,Organic Matter Depletion,1
Wetland Restoration (IRA),Organic Matter Depletion,1
Watering Facility ,Organic Matter Depletion,0
Riparian Forest Buffer (IRA),Organic Matter Depletion,4
Nutrient Management (IRA),Organic Matter Depletion,2
Pest Management Conservation System ,Organic Matter Depletion,2
Structures for Wildlife ,Organic Matter Depletion,0
Stream Crossing ,Organic Matter Depletion,0
Structure for Water Control ,Organic Matter Depletion,0
Stream Habitat Improvement and Management ,Organic Matter Depletion,0
Grade Stabilization Structure ,Organic Matter Depletion,0
Riparian Herbaceous Cover (IRA),Organic Matter Depletion,4
Aquatic Organism Passage ,Organic Matter Depletion,0
Wetland Creation ,Organic Matter Depletion,2
Wetland Enhancement ,Organic Matter Depletion,1
Wetland Wildlife Habitat Management ,Organic Matter Depletion,0
Shallow Water Development and Management ,Organic Matter Depletion,1
Restoration of Rare and Declining Habitats,Organic Matter Depletion,0
Fence ,Concentration of Salts or other Chemicals,0
Streambank and Shoreline Protection ,Concentration of Salts or other Chemicals,0
Heavy Use Area Protection ,Concentration of Salts or other Chemicals,0
Livestock Pipeline ,Concentration of Salts or other Chemicals,0
Prescribed Grazing (IRA),Concentration of Salts or other Chemicals,2
Cover Crop (IRA),Concentration of Salts or other Chemicals,0
Tree/Shrub Establishment (IRA),Concentration of Salts or other Chemicals,1
Brush Management ,Concentration of Salts or other Chemicals,0
Dike and Levee ,Concentration of Salts or other Chemicals,1
Herbaceous Weed Treatment ,Concentration of Salts or other Chemicals,0
Residue and Tillage Mgmt (No Till) (IRA),Concentration of Salts or other Chemicals,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Concentration of Salts or other Chemicals,0
Conservation Crop Rotation (IRA),Concentration of Salts or other Chemicals,2
Wildlife Habitat Planting (IRA),Concentration of Salts or other Chemicals,0
Pasture and Hay Planting ,Concentration of Salts or other Chemicals,0
Critical Area Planting (IRA),Concentration of Salts or other Chemicals,1
Range planting (IRA),Concentration of Salts or other Chemicals,1
Channel Bed Stabilization ,Concentration of Salts or other Chemicals,0
Conservation Cover (IRA),Concentration of Salts or other Chemicals,2
Access Control ,Concentration of Salts or other Chemicals,0
Wetland Restoration (IRA),Concentration of Salts or other Chemicals,0
Watering Facility ,Concentration of Salts or other Chemicals,0
Riparian Forest Buffer (IRA),Concentration of Salts or other Chemicals,1
Nutrient Management (IRA),Concentration of Salts or other Chemicals,2
Pest Management Conservation System ,Concentration of Salts or other Chemicals,0
Structures for Wildlife ,Concentration of Salts or other Chemicals,0
Stream Crossing ,Concentration of Salts or other Chemicals,0
Structure for Water Control ,Concentration of Salts or other Chemicals,0
Stream Habitat Improvement and Management ,Concentration of Salts or other Chemicals,0
Grade Stabilization Structure ,Concentration of Salts or other Chemicals,0
Riparian Herbaceous Cover (IRA),Concentration of Salts or other Chemicals,2
Aquatic Organism Passage ,Concentration of Salts or other Chemicals,0
Wetland Creation ,Concentration of Salts or other Chemicals,0
Wetland Enhancement ,Concentration of Salts or other Chemicals,0
Wetland Wildlife Habitat Management ,Concentration of Salts or other Chemicals,0
Shallow Water Development and Management ,Concentration of Salts or other Chemicals,0
Restoration of Rare and Declining Habitats,Concentration of Salts or other Chemicals,-1
Fence ,Soil Organism Habitat Loss or Degradation,1
Streambank and Shoreline Protection ,Soil Organism Habitat Loss or Degradation,0
Heavy Use Area Protection ,Soil Organism Habitat Loss or Degradation,-2
Livestock Pipeline ,Soil Organism Habitat Loss or Degradation,0
Prescribed Grazing (IRA),Soil Organism Habitat Loss or Degradation,2
Cover Crop (IRA),Soil Organism Habitat Loss or Degradation,2
Tree/Shrub Establishment (IRA),Soil Organism Habitat Loss or Degradation,5
Brush Management ,Soil Organism Habitat Loss or Degradation,0
Dike and Levee ,Soil Organism Habitat Loss or Degradation,0
Herbaceous Weed Treatment ,Soil Organism Habitat Loss or Degradation,1
Residue and Tillage Mgmt (No Till) (IRA),Soil Organism Habitat Loss or Degradation,4
Residue and Tillage Mgmt (Reduced Till) (IRA),Soil Organism Habitat Loss or Degradation,3
Conservation Crop Rotation (IRA),Soil Organism Habitat Loss or Degradation,1
Wildlife Habitat Planting (IRA),Soil Organism Habitat Loss or Degradation,0
Pasture and Hay Planting ,Soil Organism Habitat Loss or Degradation,4
Critical Area Planting (IRA),Soil Organism Habitat Loss or Degradation,2
Range planting (IRA),Soil Organism Habitat Loss or Degradation,3
Channel Bed Stabilization ,Soil Organism Habitat Loss or Degradation,0
Conservation Cover (IRA),Soil Organism Habitat Loss or Degradation,2
Access Control ,Soil Organism Habitat Loss or Degradation,1
Wetland Restoration (IRA),Soil Organism Habitat Loss or Degradation,0
Watering Facility ,Soil Organism Habitat Loss or Degradation,0
Riparian Forest Buffer (IRA),Soil Organism Habitat Loss or Degradation,5
Nutrient Management (IRA),Soil Organism Habitat Loss or Degradation,0
Pest Management Conservation System ,Soil Organism Habitat Loss or Degradation,2
Structures for Wildlife ,Soil Organism Habitat Loss or Degradation,0
Stream Crossing ,Soil Organism Habitat Loss or Degradation,0
Structure for Water Control ,Soil Organism Habitat Loss or Degradation,0
Stream Habitat Improvement and Management ,Soil Organism Habitat Loss or Degradation,0
Grade Stabilization Structure ,Soil Organism Habitat Loss or Degradation,2
Riparian Herbaceous Cover (IRA),Soil Organism Habitat Loss or Degradation,0
Aquatic Organism Passage ,Soil Organism Habitat Loss or Degradation,0
Wetland Creation ,Soil Organism Habitat Loss or Degradation,0
Wetland Enhancement ,Soil Organism Habitat Loss or Degradation,0
Wetland Wildlife Habitat Management ,Soil Organism Habitat Loss or Degradation,0
Shallow Water Development and Management ,Soil Organism Habitat Loss or Degradation,0
Restoration of Rare and Declining Habitats,Soil Organism Habitat Loss or Degradation,0
Fence ,Aggregate Instability,1
Streambank and Shoreline Protection ,Aggregate Instability,2
Heavy Use Area Protection ,Aggregate Instability,1
Livestock Pipeline ,Aggregate Instability,0
Prescribed Grazing (IRA),Aggregate Instability,2
Cover Crop (IRA),Aggregate Instability,2
Tree/Shrub Establishment (IRA),Aggregate Instability,5
Brush Management ,Aggregate Instability,0
Dike and Levee ,Aggregate Instability,0
Herbaceous Weed Treatment ,Aggregate Instability,1
Residue and Tillage Mgmt (No Till) (IRA),Aggregate Instability,4
Residue and Tillage Mgmt (Reduced Till) (IRA),Aggregate Instability,2
Conservation Crop Rotation (IRA),Aggregate Instability,3
Wildlife Habitat Planting (IRA),Aggregate Instability,0
Pasture and Hay Planting ,Aggregate Instability,4
Critical Area Planting (IRA),Aggregate Instability,2
Range planting (IRA),Aggregate Instability,3
Channel Bed Stabilization ,Aggregate Instability,0
Conservation Cover (IRA),Aggregate Instability,4
Access Control ,Aggregate Instability,1
Wetland Restoration (IRA),Aggregate Instability,0
Watering Facility ,Aggregate Instability,0
Riparian Forest Buffer (IRA),Aggregate Instability,4
Nutrient Management (IRA),Aggregate Instability,0
Pest Management Conservation System ,Aggregate Instability,0
Structures for Wildlife ,Aggregate Instability,0
Stream Crossing ,Aggregate Instability,0
Structure for Water Control ,Aggregate Instability,0
Stream Habitat Improvement and Management ,Aggregate Instability,0
Grade Stabilization Structure ,Aggregate Instability,2
Riparian Herbaceous Cover (IRA),Aggregate Instability,0
Aquatic Organism Passage ,Aggregate Instability,0
Wetland Creation ,Aggregate Instability,0
Wetland Enhancement ,Aggregate Instability,0
Wetland Wildlife Habitat Management ,Aggregate Instability,0
Shallow Water Development and Management ,Aggregate Instability,0
Restoration of Rare and Declining Habitats,Aggregate Instability,0
Fence ,Ponding and Flooding,0
Streambank and Shoreline Protection ,Ponding and Flooding,3
Heavy Use Area Protection ,Ponding and Flooding,-1
Livestock Pipeline ,Ponding and Flooding,0
Prescribed Grazing (IRA),Ponding and Flooding,2
Cover Crop (IRA),Ponding and Flooding,1
Tree/Shrub Establishment (IRA),Ponding and Flooding,0
Brush Management ,Ponding and Flooding,1
Dike and Levee ,Ponding and Flooding,4
Herbaceous Weed Treatment ,Ponding and Flooding,0
Residue and Tillage Mgmt (No Till) (IRA),Ponding and Flooding,1
Residue and Tillage Mgmt (Reduced Till) (IRA),Ponding and Flooding,0
Conservation Crop Rotation (IRA),Ponding and Flooding,1
Wildlife Habitat Planting (IRA),Ponding and Flooding,0
Pasture and Hay Planting ,Ponding and Flooding,1
Critical Area Planting (IRA),Ponding and Flooding,0
Range planting (IRA),Ponding and Flooding,2
Channel Bed Stabilization ,Ponding and Flooding,2
Conservation Cover (IRA),Ponding and Flooding,1
Access Control ,Ponding and Flooding,1
Wetland Restoration (IRA),Ponding and Flooding,1
Watering Facility ,Ponding and Flooding,0
Riparian Forest Buffer (IRA),Ponding and Flooding,-1
Nutrient Management (IRA),Ponding and Flooding,0
Pest Management Conservation System ,Ponding and Flooding,0
Structures for Wildlife ,Ponding and Flooding,0
Stream Crossing ,Ponding and Flooding,0
Structure for Water Control ,Ponding and Flooding,2
Stream Habitat Improvement and Management ,Ponding and Flooding,0
Grade Stabilization Structure ,Ponding and Flooding,2
Riparian Herbaceous Cover (IRA),Ponding and Flooding,-2
Aquatic Organism Passage ,Ponding and Flooding,1
Wetland Creation ,Ponding and Flooding,1
Wetland Enhancement ,Ponding and Flooding,1
Wetland Wildlife Habitat Management ,Ponding and Flooding,2
Shallow Water Development and Management ,Ponding and Flooding,1
Restoration of Rare and Declining Habitats,Ponding and Flooding,0
Fence ,Seasonal High Water Table,0
Streambank and Shoreline Protection ,Seasonal High Water Table,0
Heavy Use Area Protection ,Seasonal High Water Table,0
Livestock Pipeline ,Seasonal High Water Table,0
Prescribed Grazing (IRA),Seasonal High Water Table,0
Cover Crop (IRA),Seasonal High Water Table,1
Tree/Shrub Establishment (IRA),Seasonal High Water Table,2
Brush Management ,Seasonal High Water Table,0
Dike and Levee ,Seasonal High Water Table,-1
Herbaceous Weed Treatment ,Seasonal High Water Table,0
Residue and Tillage Mgmt (No Till) (IRA),Seasonal High Water Table,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Seasonal High Water Table,0
Conservation Crop Rotation (IRA),Seasonal High Water Table,0
Wildlife Habitat Planting (IRA),Seasonal High Water Table,0
Pasture and Hay Planting ,Seasonal High Water Table,0
Critical Area Planting (IRA),Seasonal High Water Table,0
Range planting (IRA),Seasonal High Water Table,0
Channel Bed Stabilization ,Seasonal High Water Table,0
Conservation Cover (IRA),Seasonal High Water Table,0
Access Control ,Seasonal High Water Table,2
Wetland Restoration (IRA),Seasonal High Water Table,0
Watering Facility ,Seasonal High Water Table,0
Riparian Forest Buffer (IRA),Seasonal High Water Table,2
Nutrient Management (IRA),Seasonal High Water Table,0
Pest Management Conservation System ,Seasonal High Water Table,0
Structures for Wildlife ,Seasonal High Water Table,0
Stream Crossing ,Seasonal High Water Table,0
Structure for Water Control ,Seasonal High Water Table,0
Stream Habitat Improvement and Management ,Seasonal High Water Table,0
Grade Stabilization Structure ,Seasonal High Water Table,0
Riparian Herbaceous Cover (IRA),Seasonal High Water Table,2
Aquatic Organism Passage ,Seasonal High Water Table,0
Wetland Creation ,Seasonal High Water Table,-1
Wetland Enhancement ,Seasonal High Water Table,0
Wetland Wildlife Habitat Management ,Seasonal High Water Table,0
Shallow Water Development and Management ,Seasonal High Water Table,0
Restoration of Rare and Declining Habitats,Seasonal High Water Table,0
Fence ,Seeps,0
Streambank and Shoreline Protection ,Seeps,0
Heavy Use Area Protection ,Seeps,0
Livestock Pipeline ,Seeps,0
Prescribed Grazing (IRA),Seeps,0
Cover Crop (IRA),Seeps,1
Tree/Shrub Establishment (IRA),Seeps,2
Brush Management ,Seeps,0
Dike and Levee ,Seeps,-1
Herbaceous Weed Treatment ,Seeps,0
Residue and Tillage Mgmt (No Till) (IRA),Seeps,0
Residue and Tillage Mgmt (Reduced Till) (IRA),Seeps,0
Conservation Crop Rotation (IRA),Seeps,1
Wildlife Habitat Planting (IRA),Seeps,0
Pasture and Hay Planting ,Seeps,0
Critical Area Planting (IRA),Seeps,0
Range planting (IRA),Seeps,0
Channel Bed Stabilization ,Seeps,2
Conservation Cover (IRA),Seeps,1
Access Control ,Seeps,1
Wetland Restoration (IRA),Seeps,0
Watering Facility ,Seeps,0
Riparian Forest Buffer (IRA),Seeps,1
Nutrient Management (IRA),Seeps,0
Pest Management Conservation System ,Seeps,0
Structures for Wildlife ,Seeps,0
Stream Crossing ,Seeps,0
Structure for Water Control ,Seeps,0
Stream Habitat Improvement and Management ,Seeps,0
Grade Stabilization Structure ,Seeps,0
Riparian Herbaceous Cover (IRA),Seeps,2
Aquatic Organism Passage ,Seeps,0
Wetland Creation ,Seeps,0
Wetland Enhancement ,Seeps,0
